task_id,priority,start_time,end_time,profit,energy,task_type,status
18,8,1713,2567,160.01,0.2222,1,调度中
257,3,2248,2407,55.94,0.4444,1,调度中
34,3,3099,3364,63.64,0.4444,1,调度中
102,4,2836,3510,78.9,0.5417,1,调度中
60,8,500,2694,157.78,0.3889,1,已完成
27,6,728,1173,120.82,0.4583,1,调度中
33,4,2122,2565,80.32,0.625,1,调度中
19,7,1497,2556,137.64,0.3333,1,已完成
20,5,333,2239,100.65,0.5417,1,已完成
77,8,2710,3456,162.99,0.7917,1,调度中
214,3,3430,3496,61.49,0.25,1,调度中
13,1,1873,2473,22.93,0.5417,1,已完成
68,9,57,2463,178.81,0.5833,1,已完成
258,1,630,995,19.04,0.7083,1,已完成
101,6,483,1955,120.31,0.7639,1,调度中
139,4,2358,3422,77.65,0.7917,1,调度中
160,5,961,1753,98.52,0.7083,1,调度中
245,7,948,2630,139.45,0.7083,1,已完成
238,10,1715,3179,197.86,0.75,1,调度中
74,2,1424,3271,39.88,0.4444,1,已完成
104,6,2265,2841,120.17,0.4028,1,已完成
30,4,787,2674,78.45,0.3194,1,调度中
0,3,3146,3321,58,0.7639,1,调度中
214,5,324,2802,98.54,0.5139,1,已完成
98,3,2388,3054,62.97,0.2639,1,已完成
7,3,2974,3594,61.03,0.7778,1,已完成
41,10,740,1812,198.48,0.5,1,已完成
111,8,1826,3575,164.02,0.3056,1,调度中
78,4,268,774,77.76,0.3333,1,调度中
153,2,1205,1964,40.53,0.4167,1,调度中
48,8,1067,1993,160.17,0.625,1,已完成
55,8,3284,3570,160.54,0.75,1,调度中
202,6,2323,3311,121.06,0.75,1,已完成
70,6,3319,3518,119.39,0.5417,1,调度中
51,6,2408,3042,119.2,0.7917,1,已完成
12,3,1207,3558,63.17,0.6667,1,已完成
154,10,3212,3592,203.14,0.4306,1,调度中
59,6,2371,2646,118.51,0.25,1,已完成
104,7,3526,3598,137.4,0.3333,1,已完成
51,1,2477,2649,20.59,0.5278,1,已完成
254,10,1798,3011,202.8,0.3333,1,已完成
59,10,2955,3234,201.36,0.4306,1,已完成
233,5,1730,2396,97.66,0.7917,1,已完成
196,5,3333,3545,99.8,0.2361,1,调度中
99,1,2163,3217,19.73,0.7778,1,调度中
36,3,1627,1807,60.4,0.7361,1,已完成
35,4,2542,3358,78.99,0.3333,1,已完成
22,10,1017,2068,200.04,0.4028,1,已完成
134,1,3151,3432,20.62,0.4028,1,调度中
114,10,2097,2950,197.02,0.4861,1,调度中
28,5,1349,2997,97.23,0.6944,1,调度中
30,4,288,2324,75.72,0.2083,1,已完成
122,7,2358,2557,136.92,0.3889,1,已完成
106,9,427,723,177.28,0.625,1,调度中
237,7,3160,3469,141.16,0.8194,1,已完成
89,5,2727,3150,101.03,0.7639,1,已完成
57,1,2234,2457,20.13,0.2917,1,已完成
165,10,2071,2989,202.74,0.4167,1,已完成
199,4,2873,3151,79.19,0.3056,1,已完成
19,10,1479,1743,201.5,0.6111,1,调度中
35,8,177,2649,159.82,0.5556,1,调度中
133,8,3006,3362,164.76,0.8194,1,已完成
98,3,2103,3377,60.42,0.4167,1,已完成
22,4,599,2286,78.69,0.2917,1,已完成
142,5,1892,2273,96.33,0.25,1,调度中
244,5,2666,3514,97.75,0.3611,1,调度中
85,10,2378,3098,199.82,0.5417,1,调度中
92,4,3128,3273,77.45,0.6389,1,已完成
115,1,2455,3425,19.3,0.5972,1,调度中
34,8,886,2777,160.11,0.8194,1,已完成
105,6,3027,3590,116.99,0.4861,1,已完成
75,9,2306,2885,181.9,0.3333,1,已完成
89,4,287,966,81.74,0.7778,1,调度中
135,3,3269,3557,58.07,0.4583,1,调度中
54,5,1334,3146,98.17,0.3472,1,已完成
95,7,2759,3477,140.35,0.6667,1,已完成
32,1,1234,3549,23.7,0.6389,1,调度中
66,7,2494,2741,140.37,0.8056,1,调度中
263,10,3222,3491,200.89,0.8194,1,调度中
153,2,1868,3001,40.26,0.5972,1,已完成
67,5,3177,3552,101.44,0.6806,1,已完成
66,3,2654,3557,58.95,0.4583,1,已完成
9,1,3137,3416,19.66,0.6389,1,已完成
49,4,2733,3215,82.71,0.6389,1,调度中
130,8,1485,2789,159.45,0.6667,1,已完成
21,9,322,1192,181.63,0.4167,1,已完成
109,2,2059,2363,38.34,0.6944,1,调度中
144,5,1600,2088,100,0.7778,1,调度中
138,10,2553,2955,199.02,0.75,1,已完成
291,4,1126,1659,82.22,0.3611,1,已完成
239,1,2644,2930,16.47,0.5417,1,调度中
32,2,3215,3464,42.95,0.2639,1,已完成
253,9,320,2009,179.27,0.2778,1,已完成
62,8,1134,1940,156.31,0.7917,1,已完成
32,6,410,677,122.92,0.6111,1,已完成
7,2,3411,3526,44.67,0.5278,1,已完成
108,1,1885,2108,22.09,0.5694,1,调度中
50,1,3384,3520,17.4,0.3472,1,已完成
102,9,837,1327,181.54,0.5139,1,已完成
57,1,1148,2921,22.03,0.3056,1,调度中
28,4,2799,3255,83.49,0.4306,1,调度中
117,3,2854,3536,59.31,0.5833,1,调度中
145,1,3094,3280,22.7,0.75,1,调度中
62,7,3464,3592,141.95,0.3889,1,调度中
74,6,2562,3222,118.96,0.25,1,调度中
180,3,2909,3064,61.91,0.3611,1,调度中
43,9,3242,3558,180.54,0.2083,1,调度中
75,10,626,1728,200.08,0.3333,1,已完成
169,9,840,3058,180.93,0.7917,1,已完成
5,5,139,818,100.03,0.8333,1,已完成
200,9,509,2096,179.08,0.8056,1,调度中
90,3,2288,2832,56.45,0.2778,1,已完成
71,1,1300,3344,21.55,0.25,1,调度中
7,1,2878,3481,21.33,0.6667,1,已完成
42,3,3046,3573,59.77,0.5833,1,已完成
133,10,540,2461,197.79,0.2361,1,已完成
41,8,2880,3274,161.34,0.6528,1,调度中
10,6,1613,2235,119.18,0.3889,1,调度中
43,7,113,404,138.14,0.2083,1,调度中
38,3,172,2751,61.03,0.3056,1,已完成
145,1,1295,3151,16.82,0.625,1,已完成
127,4,2591,3315,78.08,0.5139,1,调度中
86,6,2469,3090,121.05,0.5139,1,已完成
160,4,2004,2905,78.79,0.4583,1,已完成
86,5,2079,2511,99.64,0.7778,1,调度中
109,8,1766,3121,164.33,0.8056,1,调度中
101,8,2704,3452,162.58,0.6944,1,调度中
51,6,2442,3281,116.54,0.5278,1,已完成
165,2,1077,3459,42.4,0.2222,1,调度中
158,2,3231,3557,45.13,0.4444,1,已完成
0,10,2390,3525,200.27,0.7917,1,已完成
14,6,1662,2456,121.6,0.5417,1,已完成
62,5,3241,3501,98.82,0.3333,1,已完成
184,2,875,3419,41.46,0.2222,1,调度中
29,4,3294,3415,79.89,0.4028,1,调度中
136,5,2106,2754,98.86,0.5972,1,调度中
7,5,477,3139,98.22,0.4861,1,已完成
13,7,1497,2423,140.14,0.2083,1,调度中
36,2,2743,3516,40.08,0.3194,1,调度中
120,10,3433,3556,202,0.2222,1,已完成
109,3,1081,3174,60.96,0.6389,1,调度中
122,8,2877,3553,159.23,0.75,1,调度中
132,5,336,1512,99.67,0.2361,1,已完成
197,8,3005,3382,160.48,0.6667,1,已完成
102,8,116,1672,157.67,0.6806,1,已完成
146,3,2095,2223,57.6,0.3333,1,调度中
247,9,295,3477,182.57,0.4167,1,调度中
43,7,1524,2569,139.69,0.4583,1,调度中
106,1,590,2968,21.13,0.3611,1,已完成
189,5,2090,2987,97.94,0.2361,1,调度中
165,4,1422,1852,81.47,0.5417,1,调度中
128,4,1405,3561,80.67,0.3889,1,调度中
193,1,2377,3301,19.61,0.3889,1,调度中
6,4,947,3325,79.26,0.8333,1,已完成
60,5,504,2254,100.42,0.6111,1,已完成
54,1,3072,3175,20.65,0.3333,1,调度中
10,2,1956,2330,42.46,0.5833,1,已完成
11,9,377,627,182.53,0.2222,1,已完成
174,3,1546,3116,59.07,0.5139,1,已完成
7,10,132,716,202.22,0.5556,1,调度中
271,4,1455,1707,78.91,0.6944,1,已完成
90,4,3373,3584,77.37,0.5,1,已完成
33,4,1381,2063,83.95,0.7778,1,调度中
245,2,3391,3471,37.19,0.2917,1,调度中
86,6,3324,3527,119.25,0.3611,1,已完成
118,7,683,951,138.12,0.3333,1,调度中
203,8,2008,3149,163.41,0.4444,1,调度中
36,6,3189,3579,118.07,0.5417,1,已完成
145,6,2836,3143,119,0.5556,1,已完成
43,7,892,2172,142.9,0.6667,1,已完成
129,6,2245,2362,120.77,0.375,1,调度中
17,1,1305,1513,18.14,0.5139,1,已完成
177,6,1151,2668,121.96,0.625,1,调度中
137,5,153,3198,98.96,0.625,1,调度中
127,4,393,1772,80.23,0.5556,1,调度中
215,5,1058,1462,100.57,0.2361,1,已完成
138,9,1492,1778,182.15,0.6111,1,已完成
64,6,563,2373,125.93,0.4028,1,已完成
47,10,1694,3168,200.22,0.4722,1,调度中
67,3,1431,1953,59.5,0.2083,1,调度中
25,1,2682,2842,17.2,0.2361,1,已完成
252,9,2219,3011,181.25,0.8333,1,已完成
226,7,3233,3540,139.04,0.7222,1,调度中
76,5,2590,2891,96.72,0.5694,1,调度中
28,9,1033,2503,178.57,0.3194,1,已完成
116,6,1132,2708,120.72,0.5,1,调度中
24,4,2069,2335,82.43,0.8056,1,调度中
145,9,2064,2536,176.95,0.7361,1,已完成
62,5,264,2868,103.5,0.3056,1,调度中
98,5,1685,3371,102.34,0.6944,1,调度中
139,7,3282,3591,137.6,0.3333,1,调度中
64,6,3348,3596,120.96,0.6111,1,已完成
15,9,2996,3240,177.3,0.2778,1,已完成
129,1,211,1788,21.42,0.4444,1,调度中
16,5,917,2713,104.53,0.4306,1,已完成
150,3,275,1070,56.95,0.6944,1,调度中
189,6,1791,3027,118.3,0.6389,1,已完成
56,9,3471,3592,182.8,0.3056,1,调度中
29,10,2021,2702,198.96,0.2917,1,已完成
6,1,3230,3414,17.79,0.2917,1,已完成
64,8,2400,3184,160.93,0.6667,1,已完成
87,8,1928,2173,158.8,0.2917,1,调度中
74,1,353,1746,18.18,0.625,1,调度中
42,3,3172,3517,59.75,0.7083,1,已完成
145,5,2327,2749,99.65,0.7222,1,调度中
215,5,3206,3487,96.65,0.2361,1,调度中
161,2,526,2624,39.81,0.7917,1,已完成
68,6,2583,3010,118.45,0.7778,1,已完成
180,2,2670,3351,39.34,0.5694,1,已完成
11,6,51,2207,123.44,0.625,1,已完成
44,9,1748,3480,175.47,0.2083,1,已完成
102,5,3056,3548,98.79,0.4861,1,调度中
55,5,2057,2310,99.63,0.4167,1,调度中
71,4,1763,1911,81.43,0.3472,1,调度中
26,3,3450,3595,60.9,0.4167,1,已完成
102,6,3426,3597,125.53,0.3472,1,已完成
11,3,2469,2801,59.9,0.2778,1,调度中
20,4,33,1757,80.23,0.75,1,已完成
193,8,2156,2346,158.93,0.4444,1,已完成
59,4,2032,3008,81.06,0.3472,1,已完成
57,4,2131,3041,80.97,0.6111,1,调度中
100,9,2243,2760,179.28,0.7778,1,调度中
83,4,1593,3216,79.7,0.3194,1,调度中
71,8,775,1493,161.84,0.5417,1,已完成
204,8,3089,3498,158.25,0.8333,1,调度中
90,3,2167,2530,60.23,0.8333,1,调度中
40,10,717,2148,199.76,0.4167,1,调度中
189,5,784,1816,98.71,0.3889,1,调度中
155,3,3101,3595,59.46,0.5694,1,调度中
42,1,1277,2471,18.84,0.7917,1,调度中
78,9,1531,2377,179.17,0.7639,1,已完成
104,4,2528,3573,82.23,0.4306,1,已完成
60,5,1788,3570,100.43,0.7361,1,调度中
5,10,3144,3570,202.87,0.625,1,调度中
20,1,1565,2768,19.86,0.5,1,已完成
119,5,2458,2608,98.33,0.375,1,调度中
1,1,264,1108,24.48,0.5694,1,已完成
216,9,2968,3210,180.29,0.625,1,调度中
142,3,2435,2910,60.14,0.6944,1,已完成
0,5,2881,3322,101.45,0.6111,1,已完成
68,2,1965,2642,38.69,0.2361,1,调度中
182,6,371,2644,118.93,0.5556,1,已完成
244,7,2681,3490,140.59,0.375,1,已完成
15,8,623,1656,161.59,0.5556,1,调度中
183,10,2744,3056,200.76,0.4306,1,调度中
46,7,600,2902,138.49,0.2917,1,调度中
124,6,3333,3422,120.02,0.4028,1,已完成
44,10,2286,2759,197.14,0.2917,1,调度中
50,3,1417,2394,58.75,0.2778,1,已完成
74,8,302,2884,159.47,0.2083,1,已完成
48,2,571,3081,38.05,0.2361,1,已完成
78,4,17,2028,79.36,0.3194,1,已完成
146,2,2596,3508,37.1,0.8194,1,已完成
84,6,2521,3340,121.77,0.2361,1,已完成
162,3,3029,3529,61.49,0.4722,1,已完成
254,3,850,1103,60.66,0.3194,1,调度中
50,6,1191,2126,121.57,0.5278,1,已完成
256,4,441,2494,77.75,0.7361,1,调度中
32,5,245,1312,98.3,0.8194,1,调度中
44,4,593,3449,80.87,0.6111,1,调度中
68,9,2095,2745,179.98,0.2222,1,调度中
142,2,3102,3477,40.51,0.4444,1,调度中
36,5,2899,3397,101.63,0.4444,1,调度中
37,3,209,2052,60.28,0.7361,1,已完成
50,5,2527,2819,100.98,0.4444,1,调度中
197,6,3038,3263,119.86,0.2222,1,已完成
161,7,3396,3535,139.9,0.3611,1,调度中
186,5,1496,2896,99.61,0.375,1,已完成
74,3,973,3047,62.2,0.4306,1,调度中
63,9,866,2715,183.18,0.3611,1,调度中
10,2,1273,2401,39.39,0.3889,1,已完成
77,8,3062,3196,155.69,0.3333,1,已完成
97,9,1110,1557,179.95,0.2361,1,已完成
20,9,56,1044,179.42,0.2639,1,调度中
152,4,2400,3312,81.37,0.25,1,调度中
81,7,2001,3346,142.05,0.4861,1,调度中
70,5,1407,2287,99.05,0.5833,1,调度中
58,2,330,1272,41.14,0.5,1,调度中
78,4,47,3027,79.03,0.5694,1,已完成
76,5,2411,2511,94.94,0.2222,1,已完成
31,5,507,1650,100.39,0.7083,1,已完成
49,9,1435,2356,178.14,0.5972,1,调度中
93,5,259,1977,96.72,0.4861,1,调度中
135,3,3442,3571,59.08,0.3194,1,调度中
140,10,2041,3443,201.35,0.7083,1,调度中
201,5,2085,3241,103.8,0.7778,1,调度中
15,10,237,1998,197.58,0.2222,1,调度中
101,2,234,2034,39.84,0.4028,1,已完成
63,9,3267,3485,181.59,0.4583,1,调度中
242,2,330,2356,45.51,0.2639,1,调度中
40,5,3142,3563,98.61,0.7778,1,已完成
65,3,495,2080,56.95,0.8056,1,调度中
185,1,204,1665,19.11,0.75,1,调度中
96,3,183,3002,62.23,0.8194,1,已完成
13,8,1154,2371,158.53,0.3889,1,已完成
184,1,1722,3408,19.79,0.6667,1,调度中
94,9,1211,3457,180.94,0.2361,1,调度中
144,7,2944,3081,137.36,0.4167,1,调度中
167,4,2578,3551,80.64,0.7778,1,已完成
17,5,3206,3375,100.92,0.2778,1,调度中
13,2,236,3299,40.07,0.4861,1,已完成
187,10,2327,2630,198.37,0.25,1,已完成
74,1,276,3389,19.29,0.7778,1,已完成
57,1,1573,2853,22.48,0.5833,1,已完成
99,8,3349,3452,157.97,0.4167,1,调度中
39,8,2548,3158,159.99,0.3194,1,调度中
197,6,508,2310,121.1,0.6944,1,已完成
102,8,2710,3305,159.87,0.7083,1,已完成
96,3,227,2137,62.97,0.4306,1,已完成
35,3,3359,3457,62.37,0.3611,1,调度中
29,5,1949,2720,97.83,0.7083,1,已完成
1,2,315,2309,37.95,0.2639,1,调度中
3,7,316,3591,143.31,0.8333,1,已完成
181,10,1377,1629,199.16,0.5556,1,调度中
26,3,2174,2823,58.83,0.3194,1,调度中
209,10,2885,3557,197.17,0.2083,1,调度中
50,6,1449,3068,120.97,0.8194,1,调度中
79,5,2668,3254,100.37,0.3333,1,已完成
53,10,2450,3127,195.81,0.6667,1,已完成
135,3,1560,2318,63.48,0.4167,1,调度中
11,2,2727,3294,38.14,0.4028,1,已完成
52,8,1728,3177,159.63,0.75,1,调度中
77,8,2334,2680,161.01,0.2222,1,已完成
54,6,2106,3500,119.08,0.8333,1,调度中
23,10,232,3234,196.5,0.8333,1,调度中
70,8,302,1461,159.05,0.375,1,调度中
7,1,664,2708,17.99,0.6667,1,调度中
142,3,3416,3563,60.08,0.2917,1,调度中
119,1,1071,2770,20.71,0.5694,1,已完成
168,9,1439,2266,177.91,0.5972,1,已完成
119,6,86,1772,119.12,0.5139,1,已完成
46,1,1030,1833,21.63,0.2917,1,调度中
259,10,412,2876,201.91,0.7778,1,调度中
2,7,999,2056,139.11,0.4028,1,已完成
249,1,3083,3266,22.93,0.4583,1,调度中
88,7,1114,1526,144.57,0.4444,1,调度中
146,1,1778,3537,20.68,0.2361,1,调度中
109,5,1615,3187,99.57,0.5833,1,调度中
36,1,325,2084,21.61,0.2778,1,已完成
0,2,701,1989,38.76,0.4583,1,已完成
35,8,234,1589,161.19,0.7639,1,已完成
122,4,1004,3110,79.04,0.5556,1,已完成
184,10,2167,2352,202.7,0.6528,1,调度中
238,5,924,2716,102.26,0.6806,1,调度中
174,5,886,3356,97.64,0.5278,1,已完成
71,6,2111,3469,119.02,0.2917,1,已完成
259,3,3267,3440,61.85,0.5694,1,调度中
101,7,1538,2752,142.24,0.75,1,调度中
41,5,968,2543,100.05,0.2222,1,已完成
76,3,1626,2915,61.14,0.8194,1,已完成
31,9,1667,3278,179.06,0.2639,1,调度中
212,10,2241,3467,201.64,0.625,1,已完成
145,1,967,3119,18,0.7778,1,已完成
148,9,3382,3592,181.32,0.8056,1,已完成
226,7,2668,2961,140.15,0.4167,1,调度中
150,7,3095,3544,137.94,0.5833,1,已完成
170,7,209,2129,137.96,0.375,1,调度中
47,10,1053,1862,200.48,0.2222,1,调度中
103,8,1799,2140,159.35,0.2083,1,已完成
139,2,2141,3474,39.61,0.4028,1,已完成
45,5,2604,3132,99.2,0.25,1,已完成
14,6,797,3569,118.54,0.3194,1,调度中
100,5,2873,3218,97.13,0.6806,1,调度中
116,2,532,958,37.32,0.8194,1,调度中
73,9,2263,3296,180.34,0.4028,1,已完成
83,4,2562,2928,79.96,0.7917,1,已完成
42,10,1922,2775,199.3,0.5694,1,调度中
146,2,2539,3255,41.05,0.4583,1,调度中
243,8,2739,3550,160.53,0.8333,1,已完成
148,7,3151,3525,141.61,0.7778,1,调度中
244,1,2168,2417,18.13,0.7917,1,调度中
30,2,3062,3216,40.62,0.6944,1,调度中
255,6,2758,3491,118.84,0.6667,1,调度中
218,1,1492,3548,21.92,0.3194,1,调度中
210,4,46,3599,78.73,0.7639,1,调度中
185,2,770,1452,40.03,0.4306,1,调度中
72,6,2112,2453,119.57,0.7778,1,调度中
197,7,3497,3593,137.4,0.4167,1,已完成
74,8,3019,3193,158.5,0.4167,1,已完成
155,3,2616,2901,58.51,0.25,1,调度中
16,6,1116,2956,117.39,0.5833,1,调度中
258,1,2807,3165,19.55,0.4583,1,调度中
181,6,2723,3451,118.2,0.2222,1,已完成
133,5,466,1783,99.2,0.6111,1,调度中
64,1,2098,2368,18.67,0.3194,1,已完成
249,10,2446,2704,200.43,0.5833,1,已完成
176,4,1687,2855,78.15,0.5139,1,已完成
258,10,3135,3474,197.15,0.2778,1,已完成
171,10,1651,2235,197.1,0.5417,1,调度中
219,10,3146,3480,199.42,0.7083,1,已完成
211,10,1374,2249,202.02,0.5694,1,调度中
61,7,1019,1340,139.28,0.7639,1,调度中
35,1,3120,3424,22.52,0.3194,1,调度中
33,5,1072,2494,100.46,0.8194,1,已完成
141,7,356,2526,140.03,0.8194,1,已完成
198,9,290,1375,178.33,0.4861,1,调度中
47,9,1122,1562,179.89,0.3889,1,已完成
246,6,1393,1956,118.67,0.8333,1,已完成
139,4,197,3523,81.34,0.3333,1,已完成
122,7,963,2858,139.58,0.6389,1,调度中
18,4,2341,2911,80.34,0.2361,1,调度中
60,7,3455,3550,142,0.2917,1,已完成
108,7,269,2983,141.7,0.6528,1,调度中
15,7,3500,3596,140.4,0.4444,1,调度中
150,4,861,1655,82.41,0.2639,1,已完成
260,4,2402,2583,81.42,0.3472,1,已完成
8,9,3351,3584,183.52,0.4167,1,已完成
157,5,705,1712,101.85,0.7917,1,调度中
147,10,3111,3548,200.02,0.2778,1,调度中
45,3,74,2688,59.75,0.5278,1,调度中
56,3,689,1179,61.4,0.4028,1,调度中
83,7,930,2397,144.83,0.6806,1,已完成
106,7,1529,2989,138.77,0.2917,1,调度中
88,2,3469,3594,37.97,0.5556,1,调度中
21,5,2686,3552,101.12,0.75,1,已完成
209,6,2185,2620,121.3,0.5694,1,调度中
2,4,1291,2198,79.93,0.4583,1,调度中
79,6,3287,3530,120.57,0.7917,1,调度中
148,7,899,2387,138.77,0.5556,1,调度中
160,10,2893,3589,198.25,0.4028,1,已完成
83,6,2145,3270,123.51,0.7917,1,调度中
13,7,1981,3209,137.96,0.7639,1,已完成
172,7,77,923,141.37,0.3472,1,调度中
34,9,448,1313,180.11,0.8056,1,已完成
5,1,3218,3535,21.29,0.5417,1,调度中
190,4,1949,2762,80.93,0.7222,1,调度中
106,8,2541,3394,160.47,0.2639,1,调度中
246,8,1879,2710,159.36,0.8194,1,调度中
27,5,255,1268,99.51,0.3056,1,调度中
81,6,718,3586,120.97,0.3194,1,已完成
76,4,2246,2665,79.45,0.7917,1,调度中
117,10,1601,2903,198.02,0.7361,1,调度中
158,10,1336,2418,198.61,0.5694,1,调度中
108,1,37,2305,20.44,0.6806,1,调度中
207,1,1840,3558,22.02,0.6389,1,调度中
117,9,935,2450,181.66,0.5139,1,调度中
19,7,566,1461,143.48,0.3056,1,调度中
92,5,1196,1906,99.12,0.5417,1,已完成
190,4,3218,3510,79.02,0.2778,1,已完成
87,3,1185,2935,60.6,0.4583,1,已完成
163,1,1887,2642,21.2,0.6111,1,已完成
60,4,1640,3141,81.76,0.6389,1,已完成
83,1,2453,3009,14.61,0.8194,1,调度中
186,6,7,2609,122.17,0.3889,1,调度中
221,1,2861,3404,19.24,0.5972,1,调度中
115,1,3140,3368,18.45,0.2639,1,调度中
229,1,681,2512,19.36,0.3889,1,已完成
69,10,1274,2003,203.16,0.3611,1,调度中
174,6,3367,3533,121.42,0.5139,1,已完成
23,9,2799,3029,178.66,0.25,1,调度中
274,10,2715,3410,197.53,0.5694,1,已完成
3,9,1208,2129,179.13,0.4028,1,调度中
38,1,394,1688,18.69,0.3194,1,调度中
38,7,1701,2364,138.25,0.4167,1,调度中
66,7,2975,3293,137.84,0.7917,1,调度中
143,9,2316,3086,181.47,0.7083,1,调度中
106,8,1343,1932,160.61,0.75,1,调度中
117,10,1914,2870,199.05,0.2778,1,调度中
15,5,1952,3037,97.22,0.4722,1,已完成
155,2,209,512,40.21,0.7222,1,调度中
69,8,2951,3324,159.23,0.4306,1,已完成
182,9,2894,3488,178.07,0.4167,1,已完成
217,7,2087,2854,139.47,0.6528,1,调度中
152,3,61,1585,64.17,0.3333,1,已完成
132,6,2028,3197,120.74,0.3056,1,已完成
68,10,1075,1653,201.59,0.4444,1,调度中
170,7,2379,2708,141.9,0.7083,1,已完成
134,7,778,1610,140.04,0.8333,1,调度中
132,4,2516,3182,81.02,0.5417,1,已完成
59,4,1578,3187,78.62,0.2083,1,已完成
38,2,215,2729,39.21,0.4444,1,调度中
89,3,1411,3424,61.06,0.7361,1,已完成
93,6,565,3028,117.23,0.6111,1,调度中
8,1,2002,2748,22.62,0.3333,1,已完成
98,3,981,2045,61.31,0.5833,1,调度中
23,6,1014,2182,124.65,0.375,1,已完成
167,4,511,2728,78.48,0.7361,1,调度中
27,7,1936,3366,138.68,0.8333,1,调度中
98,6,2809,3192,119.49,0.6528,1,已完成
288,1,579,2882,22.14,0.7361,1,调度中
